#meta full request: /calibration/alert/ahdc/time_offsets:21417:default:2025-04-11_12-22-13
#meta variation: default
#meta created: 2025-04-11 12:22:13
#meta run range: 21417 - inf.
#meta author: mpaolone

# Sector Layer Component t0 dt0 extra1 extra2 chi2ndf

#& sector layer component t0 dt0 extra1 extra2 chi2ndf
1 42 53 224.2322 20.0748 0.0 0.0 1.39
1 42 54 223.2212 20.1697 0.0 0.0 1.49
1 42 55 230.6312 18.3336 0.0 0.0 1.61
1 42 56 232.231 20.3195 0.0 0.0 1.37
1 42 57 229.4014 19.4939 0.0 0.0 1.53
1 42 58 230.7871 20.2624 0.0 0.0 1.42
1 42 59 232.3153 19.7181 0.0 0.0 1.51
1 42 60 225.8473 19.5647 0.0 0.0 1.51
1 42 61 226.5163 19.1684 0.0 0.0 1.47
1 42 62 226.184 19.9554 0.0 0.0 1.44
1 42 63 228.3652 20.3883 0.0 0.0 1.38
1 42 64 228.0004 20.3358 0.0 0.0 1.36
1 42 65 228.517 21.8763 0.0 0.0 1.45
1 42 66 227.873 19.5796 0.0 0.0 1.26
1 42 67 227.9082 20.7025 0.0 0.0 1.26
1 42 68 227.0556 19.8039 0.0 0.0 1.45
1 42 69 228.1431 20.8419 0.0 0.0 1.39
1 42 70 224.7075 19.7720 0.0 0.0 1.49
1 42 71 227.8503 18.9588 0.0 0.0 1.64
1 42 72 228.4969 20.3379 0.0 0.0 1.15
